Date / Time,City,State,Shape,Duration,Summary,Posted
5/21/16 21:15,Pueblo,CO,Triangle,Ongoing,Looking into the night sky we saw one triangular shaped object in the southern sky. Minutes later a second triangular shaped object.,42516
5/21/16 20:45,Concord,NC,Triangle,15 minutes,"V shape, bright white lights, with a green at the nose, no body just wings. Circled low and slow 3 times in a long loop.",42516
5/19/16 14:04,New York City,NY,Triangle,1 second,First of all sorry for my English writing. We were visiting WTC groundzero with my wife. I was capturing continously without focusing a,42566
5/18/16 14:45,Nantucket,MA,Triangle,2 seconds,"Took a picture of the clouds looking north, at a 60° angle . After I took the picture I zoomed in and could see the UFO to the top le",42510
5/17/16 01:35,Hazel Green,KY,Triangle,20 minutes,Huge black triangle that was 500 yards across with 3 white lights and 1 faint red light on the bottom with strobbing lights on the bac,42510
5/15/16 21:00,Racine,WI,Triangle,10 minutes,"21:00 hours and total of five fast moving red objects going WSW to East at low altitude, no engine noise, no aircraft lights",42510
5/15/16 00:01,Lucedale,MS,Triangle,30 minutes,4-7 Triangular objects with lights observed hovering over South Mississippi May 2016,42524
5/14/16 23:30,Salt Lake City,UT,Triangle,45 seconds,"Green craft hovering, then disappearing.",42516
5/14/16 02:15,Tulsa,OK,Triangle,5 minutes,Three separate crafts taking off in a 90 degree angle.,42510
5/13/16 21:30,Jacksonville,FL,Triangle,2-3 minutes,Large triangle craft.,42510
5/13/16 04:40,Bow,NH,Triangle,10 seconds,2 opaque looking circles traveling at same speed in line with each other. They almost looked cloud like but there were no clouds near.,42510
5/12/16 23:20,Shanghai (China),,Triangle,3-4 seconds,"Triangular (V-shaped) flying object spotted in Shanghai, China near Hongqio airport (2016/05/12 @ 23:20)",42510
5/12/16 22:40,Stateline,NV,Triangle,20 minutes,Several triangular lighted objects spotted above Lake Tahoe area.,42510
5/12/16 21:20,Elsmere,DE,Triangle,15 seconds approx.,Column of three vertical solid white lights over Elsmere DE which do 90 degree turn to form triangle,42510
5/12/16 00:00,Everett,WA,Triangle,5 minutes,Side triangle shape flights in a triangle formation the tip light is brighter than the rest. ((anonymous report)),42510
5/11/16 05:14,Medford,OR,Triangle,0.0833333333,U-shaped craft over the Rogue Valley.,42510
5/10/16 17:00,Johnson City,NY,Triangle,1 minute,"Multiple bright L.E.D. looking lights in a V formation,Suddenly disappears.",42510
5/10/16 12:00,East of Kingman (E of; rural),KS,Triangle,15-20 minutes,"White object like cloud, would phase in and out to the color of the sky middle of the day, somewhat triangular or stealth shaped,",42510
5/9/16 22:40,Greeley,CO,Triangle,15 minutes,"I just reported the triangular form of blinking lights. I showed 3 of my kids.. 10 minutes later we couldn't see them, then suddenly",42500
5/9/16 22:11,Greeley,CO,Triangle,1 hour+,"Watching a clear sky, once again we are seeing 3 reddish/green/white, flickering lights, stationary, in a perfect triangular form. Th",42500
5/9/16 22:10,Maxton,NC,Triangle,10 seconds,"Small triangle, or X, at low altitude, and sharp turn.",42510
5/6/16 00:00,Hertford,NC,Triangle,2 hours,Large triangle of lights in the sky making a weird sound.,42500
5/3/16 21:30,Mantua,OH,Triangle,25 minutes,"Hovered over neighbors farm for a while, 3+ lights, then became VERY BRIGHT (blinding us). Circled our house a few times and did a 180.",42496
5/3/16 21:14,Evans,CO,Triangle,15 seconds,Transparent triangular craft flying northbound spotted in Evans Colorado,42496
5/3/16 00:15,Nashua,NH,Triangle,30-45 seconds,Large triangle-shaped object hovering over highway,42496
5/2/16 22:15,Springdale,AR,Triangle,3-5 minutes,A little after 10pm on the night of May 2 2016 we saw a triangle shape craft hovering over the Don Tyson and 40th street area of Spring,42496
5/1/16 23:40,Greeley,CO,Triangle,1 hour,We saw 3 white/orange/reddish flickering lights that stayed stationary in an exact triangle position for (the time I saw) at least an h,42496
5/1/16 01:00,Camrose (Canada),AB,Triangle,5 seconds,3 lights in perfect triangle move fast from north to south in night sky. ((anonymous report)),42496
