,  Location,     Time,     Truth
2320, NORTHWEST,    NIGHT,  FIREBALL
2321,     SOUTH,    NIGHT,  FIREBALL
2322, NORTHWEST,    NIGHT,  FIREBALL
2323, NORTHWEST,    NIGHT,  FIREBALL
2324, NORTHWEST,    NIGHT,  FIREBALL
2325, NORTHWEST,AFTERNOON,  FIREBALL
2326,   MIDWEST,    NIGHT,  FIREBALL
2327,      WEST,    NIGHT,  FIREBALL
2328,     SOUTH,    NIGHT,  FIREBALL
2329, NORTHWEST,    NIGHT,  FIREBALL
2330, NORTHWEST,    NIGHT,  FIREBALL
2331,     SOUTH,    NIGHT,  FIREBALL
2332,   MIDWEST,    NIGHT,  FIREBALL
2333,   MIDWEST,    NIGHT,  FIREBALL
2334,     SOUTH,    NIGHT,  FIREBALL
2335,   MIDWEST,    NIGHT,  FIREBALL
2336, NORTHWEST,    NIGHT,  FIREBALL
2337,     SOUTH,    NIGHT,  FIREBALL
2338,      WEST,    NIGHT,  FIREBALL
2339, NORTHWEST,    NIGHT,  FIREBALL
2340,     SOUTH,    NIGHT,  FIREBALL
2341,     SOUTH,    NIGHT,  FIREBALL
2342, NORTHWEST,    NIGHT,  FIREBALL
2343,      WEST,  MORNING,  FIREBALL
2344,   MIDWEST,    NIGHT,  FIREBALL
2345, NORTHWEST,    NIGHT,  FIREBALL
2346,     SOUTH,    NIGHT,  FIREBALL
2347,     SOUTH,  MORNING,  FIREBALL
2348,   MIDWEST,    NIGHT,  FIREBALL
2349,      WEST,    NIGHT,  FIREBALL
2350, NORTHWEST,    NIGHT,  FIREBALL
2351,     SOUTH,    NIGHT,  FIREBALL
2352,   MIDWEST,  MORNING,  FIREBALL
2353,      WEST,    NIGHT,  FIREBALL
2354,      WEST,    NIGHT,  FIREBALL
2355, NORTHWEST,    NIGHT,  FIREBALL
2356, NORTHWEST,    NIGHT,  FIREBALL
2357,   MIDWEST,    NIGHT,  FIREBALL
2358, NORTHWEST,    NIGHT,  FIREBALL
2359, NORTHWEST,    NIGHT,  FIREBALL
2360,      WEST,    NIGHT,  FIREBALL
2361,     SOUTH,    NIGHT,  FIREBALL
2362,     SOUTH,    NIGHT,  FIREBALL
2363,   MIDWEST,    NIGHT,  FIREBALL
2364,   MIDWEST,    NIGHT,  FIREBALL
2365,      WEST,    NIGHT,  FIREBALL
2366,     SOUTH,    NIGHT,  FIREBALL
2367,     SOUTH,    NIGHT,  FIREBALL
2368, NORTHWEST,    NIGHT,  FIREBALL
2369, NORTHWEST,    NIGHT,  FIREBALL
2370, NORTHWEST,    NIGHT,  FIREBALL
2371,     SOUTH,    NIGHT,  FIREBALL
2372,      WEST,    NIGHT,  FIREBALL
2373,   MIDWEST,    NIGHT,  FIREBALL
2374,   MIDWEST,    NIGHT,  FIREBALL
2375,   MIDWEST,    NIGHT,  FIREBALL
2376, NORTHWEST,    NIGHT,  FIREBALL
2377,   MIDWEST,    NIGHT,  FIREBALL
2378,   MIDWEST,    NIGHT,  FIREBALL
2379,   MIDWEST,    NIGHT,  FIREBALL
2380,     SOUTH,    NIGHT,  FIREBALL
2381,     SOUTH,    NIGHT,  FIREBALL
2382,     SOUTH,    NIGHT,  FIREBALL
2383,     SOUTH,    NIGHT,  FIREBALL
2384, NORTHWEST,    NIGHT,  FIREBALL
2385,   MIDWEST,    NIGHT,  FIREBALL
2386,     SOUTH,    NIGHT,  FIREBALL
2387, NORTHWEST,    NIGHT,  FIREBALL
2388, NORTHWEST,    NIGHT,  FIREBALL
2389,     SOUTH,    NIGHT,  FIREBALL
2390, NORTHWEST,    NIGHT,  FIREBALL
2391, NORTHWEST,    NIGHT,  FIREBALL
2392,      WEST,    NIGHT,  FIREBALL
2393,     SOUTH,    NIGHT,  FIREBALL
2394,      WEST,    NIGHT,  FIREBALL
2395,   MIDWEST,    NIGHT,  FIREBALL
2396,   MIDWEST,    NIGHT,  FIREBALL
2397,   MIDWEST,    NIGHT,  FIREBALL
2398, NORTHWEST,    NIGHT,  FIREBALL
2399, NORTHWEST,    NIGHT,  FIREBALL
2400, NORTHWEST,    NIGHT,  FIREBALL
2401,     SOUTH,    NIGHT,  FIREBALL
2402, NORTHWEST,    NIGHT,  FIREBALL
2403,   MIDWEST,    NIGHT,  FIREBALL
2404,     SOUTH,    NIGHT,  FIREBALL
2405,     SOUTH,    NIGHT,  FIREBALL
2406,   MIDWEST,    NIGHT,  FIREBALL
2407,      WEST,    NIGHT,  FIREBALL
2408,     SOUTH,    NIGHT,  FIREBALL
2409,     SOUTH,    NIGHT,  FIREBALL
2410,     SOUTH,    NIGHT,  FIREBALL
2411,     SOUTH,    NIGHT,  FIREBALL
2412,   MIDWEST,    NIGHT,  FIREBALL
2413,     SOUTH,    NIGHT,  FIREBALL
2414,     SOUTH,    NIGHT,  FIREBALL
2415,   MIDWEST,    NIGHT,  FIREBALL
2416,   MIDWEST,    NIGHT,  FIREBALL
2417,     SOUTH,    NIGHT,  FIREBALL
2418,      WEST,    NIGHT,  FIREBALL
2419,      WEST,    NIGHT,  FIREBALL
2420,      WEST,    NIGHT,  FIREBALL
