Date / Time,City,State,Shape,Duration,Summary,Posted
7/27/16 21:35,Corona/Lake Mathews,CA,Fireball,1 minute,Saw 2 fireballs clear as day across the sky. Sort of looked like 2 planes were crashing. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,French Camp,CA,Fireball,2 minutes,Massive entry burnout of a ufo. Did not appear to make a landing. ((NUFORC Note: Space debris. PD)),42584
7/27/16 21:35,Minden,NV,Fireball,1 minute,Two white-ish/yellow fireballs observed for a full minute or slighly more in western NV.,42584
7/27/16 21:30,Pahrump,NV,Fireball,6 minutes,"Long trail of sparks, the obj. traveled completely across the sky until it seemed to disappear. ((NUFORC Note: Space debris. PD))",42584
7/27/16 21:30,Boonville,CA,Fireball,20 seconds,white ball of flame in Mendocino county. ((NUFORC Note: Space debris. Re-entering Chinese rocket booster. PD)),42584
7/27/16 21:30,San Mateo,CA,Fireball,4 minutes,Fireball with long tail gliding through the sky very slowly and l low in the sky. ((NUFORC Note: Chinese rocket re-entry. PD)),42584
7/27/16 21:30,Rohnert Park,CA,Fireball,30 seconds,"@ concert in Rohnert Park, CA, there was what appeared to be a fireball with a very large tail. ((NUFORC Note: Space debris. PD))",42584
7/27/16 21:00,Fresno,CA,Fireball,3 minutes,Big fire ball that broke in two smaller more dominant balls of fire with a more defined shape.,42584
7/27/16 00:40,Pueblo,CO,Fireball,2 minutes,"Three fireball/lights hovering inside of Pueblo, CO.",42584
7/24/16 23:30,Eden,ID,Fireball,3 seconds,Anyone else seen it?,42584
7/24/16 22:24,Hollister,CA,Fireball,1 hour,RED LIGHT SOUTH OF HOLLISTER 10:23PM.,42584
7/23/16 23:00,Massillon,OH,Fireball,,5 bright orange/red orbs coming from the north to southwest approximately 2 minutes apart. No noise and traveling pretty quick. Disappe,42584
7/23/16 22:20,Rocklin,CA,Fireball,Less than a minute,Bright blue light flashed and moved slowly only to disappear again.,42584
7/22/16 22:00,Farmington Hills,MI,Fireball,30 seconds,"Orange/red ""fireball,"" passing west to east, with no noise, and seemed to be quite high in the sky..not an airplane!",42584
7/21/16 22:00,Ocean City,MD,Fireball,5 minutes,Bright round red light in the sky traveling north went so far then disappeared. ((anonymous report)),42573
7/20/16 23:20,Culver City,CA,Fireball,4 seconds,"Bright fireball looking object gliding down, then vanishing after 4 seconds, and it appeared to be very low in the sky.",42573
